彦,(*ŋrans)
彪,(*prɯw)
彬,(*prɯn)
彭,(*braːŋ)
役,(*ɢʷeɡ)
往,(*ɢʷaŋ)
得,(*tɯːɡ)
徙,(*selʔ)
微,(*mɯl)
徵,(*tɯʔ)
徹,(*tʰed)
心,(*slɯm)
必,(*pliɡ)
念,(*nɯːms)
息,(*slɯɡ)
悉,(*sid)
患,(*ɡroːns)
惠,(*ɢʷiːds)
惢,(*sqʰloːlʔ)
意,(*qɯɡs)
愛,(*qɯːds)
慶,(*kʰraŋ)
憂,(*qu)
戈,(*koːl)
戉,(*ɢʷad)
戊,(*mus)
戌,(*smid)
戎,(*njuŋ)
成,(*djeŋ)
我,(*ŋaːlʔ)
戒,(*krɯːɡs)
戔,(*zlaːn)
或,(*ɡʷɯːɡ)
戛,(*kriːɡ)
戟,(*kraɡ)
戠,(*tjɯɡ)
截,(*zeːd)
戸,()
戹,(*qreːɡ)
戾,(*rɯːds)
扁,(*pʰen)
扇,(*hljen)
手,(*hnjɯwʔ)
才,(*zlɯː)
折,(*l'eːl)
拜,(*proːds)
掃,(*suːʔ)
支,(*kje)
攸,(*lɯw)
敕,(*tʰɯɡ)
敖,(*ŋaːw)
敝,(*beds)
敢,(*klaːmʔ)
散,(*saːnʔ)
敦,(*tuːl)
敫,(*kleːwɢs)
敬,(*kreŋs)
文,(*mɯn)
斌,(*prɯn)
斗,(*toːʔ)
料,(*reːw)
斤,(*kɯn)
斬,(*ʔsreːmʔ)
斯,(*se)
方,(*paŋ)
於,(*qaː)
斿,(*lu)
旅,(*ɡ·raʔ)
旉,()
旋,(*sɢʷan)
族,(*zoːɡ)
旡,(*kɯds)
日,(*njiɡ)
旦,(*taːns)
旨,(*kjiʔ)
早,(*ʔsuːʔ)
昆,(*kuːn)
昊,(*ɡuːʔ)
昌,(*tʰjaŋ)
明,(*mraŋ)
昏,(*hmɯːn)
易,(*leːɡs)
昔,(*sjaːɡ)
昚,(*ɡins)
昜,(*laŋ)
是,(*djeʔ)
昱,(*luɡ)
晉,(*ʔsins)
普,(*pʰaːʔ)
暴,(*boːwɢs)
暵,(*hnaːnʔ)
曄,(*ɢʷab)
曇,(*duːm)
曰,(*ɢʷad)
曳,(*leds)
曷,(*ɡaːd)
曹,(*zluː)
曼,(*moːn)
曾,(*ʔsɯːŋ)
替,(*tʰiːds)
會,(*koːbs)
月,(*ŋod)
朋,(*bɯːŋ)
服,(*bɯɡ)
朏,(*pʰlɯːlʔ)
朕,(*l'ɯmʔ)
朝,(*ʔr'ew)
木,(*moːɡ)
未,(*mɯds)
末,(*maːd)
本,(*pɯːnʔ)
朮,(*l'ud)
朱,(*tjo)
朵,(*toːlʔ)
朿,(*sʰeɡs)
杀,()
杏,(*ɡraːŋʔ)
束,(*hljoɡ)
東,(*toːŋ)
杲,(*kaːwʔ)
析,(*seːɡ)
林,(*ɡ·rɯm)
果,(*kloːlʔ)
